651440128	0	15996	31	4
5246976	3996	12384	24	4
1804857344	0	23220	45	6
2260217856	0	10836	21	3
1692606464	0	27348	53	7
2341777408	2448	13932	27	4
27709440	3868	28896	56	8
2126606336	0	14964	29	4
1563357184	2996	9288	18	3
2341842944	2448	13932	27	4
5312512	3996	12384	24	4
1003544576	0	23736	46	6
1576054784	2868	25800	50	7
1321697280	0	15480	30	4
1568677888	0	43860	85	11
1955524608	0	19092	37	5
2341908480	2448	13932	27	4
1563422720	2996	9288	18	3
55689216	3836	33024	64	9
1568718848	2900	21672	42	6
403918848	0	20124	39	5
9236480	3932	20640	40	6
403984384	0	20124	39	5
6291456	3964	16512	32	5
786083840	3448	17028	33	5
2341126144	2480	9804	19	3
772288512	0	7740	15	2
1563488256	2996	9288	18	3
1804922880	0	23220	45	6
14372864	0	40764	79	10
2353692672	2352	26316	51	7
2260283392	0	10836	21	3
1543348224	0	7224	14	2
784842752	3480	12900	25	4
2370334720	2320	30444	59	8
218320896	0	24252	47	6
1623924736	0	31476	61	8
2748121088	0	18576	36	5
1591353344	0	35604	69	9
1563553792	2996	9288	18	3
2917064704	0	14448	28	4
2341974016	2448	13932	27	4
14409728	3900	24768	48	7
1563619328	2996	9288	18	3
1955590144	0	19092	37	5
2260348928	0	10836	21	3
5378048	3996	12384	24	4
404049920	0	20124	39	5
3045482496	0	10320	20	3
3045548032	0	10320	20	3
1565315072	2932	17544	34	5
1321762816	0	15480	30	4
218386432	0	24252	47	6
1565380608	2932	17544	34	5
2917130240	0	14448	28	4
2748186624	0	18576	36	5
1564139520	2964	13416	26	4
1321828352	0	15480	30	4
788963328	3416	21156	41	6
1564205056	2964	13416	26	4
795512832	3384	25284	49	7
786149376	3448	17028	33	5
2260414464	0	10836	21	3
1568784384	2900	21672	42	6
55754752	3836	33024	64	9
1568849920	2900	21672	42	6
2126618624	2676	50568	98	13
1003610112	0	23736	46	6
1804988416	0	23220	45	6
1321893888	0	15480	30	4
795578368	3384	25284	49	7
1149804544	0	19608	38	5
2748252160	0	18576	36	5
2341728256	0	51600	100	13
1565446144	2932	17544	34	5
2748317696	0	18576	36	5
55820288	3836	33024	64	9
218341376	3772	41280	80	11
2748383232	0	18576	36	5
6356992	3964	16512	32	5
2353758208	2352	26316	51	7
1591386112	2836	29928	58	8
2595131392	0	22704	44	6
218451968	0	24252	47	6
2595196928	0	22704	44	6
218517504	0	24252	47	6
2482663424	0	26832	52	7
789028864	3416	21156	41	6
2595262464	0	22704	44	6
784191488	3512	8772	17	3
2917195776	0	14448	28	4
1564270592	2964	13416	26	4
728526848	0	11868	23	3
404115456	0	20124	39	5
4792320	4028	8256	16	3
1576120320	2868	25800	50	7
6422528	3964	16512	32	5
1321959424	0	15480	30	4
902402048	0	27864	54	7
2126671872	0	14964	29	4
2482728960	0	26832	52	7
810188800	3352	29412	57	8
9302016	3932	20640	40	6
789094400	3416	21156	41	6
9367552	3932	20640	40	6
786214912	3448	17028	33	5
2748448768	0	18576	36	5
