594731008	1070395392	810221568	955338752	2582376448	1679425536	1845116928	2120265728	3002916864	2707996672	457879552	3065118720	1162543104	2225623040	2250870784	1427812352	2958204928	1781559296	895275008	1168334848	2969600	1075507200	381505536	2020380672	539746304	3093934080	2551734272	694235136	356909056	1478336512	1945362432	2099732480	
81641472	2663010304	2731540480	2686865408	808255488	1837477888	2658975744	1795989504	1526734848	191475712	1663901696	2435866624	794165248	1258528768	2431447040	1127411712	221093888	2765422592	511762432	359419904	461852672	2128715776	349655040	2264215552	1730961408	2056048640	1609375744	1692827648	900464640	814514176	3052978176	1531805696	
1174929408	122204160	2985598976	1307910144	1033482240	2796482560	2866393088	477089792	171462656	1022717952	653766656	2608963584	80920576	1484013568	1407156224	2967523328	74563584	2265714688	680685568	695431168	2487775232	363548672	1733574656	135090176	1226153984	1539559424	1548922880	1223385088	1266896896	645849088	693055488	1148858368	
2296721408	2782695424	470290432	564436992	1532207104	502280192	2202140672	2318073856	3083284480	512417792	1446977536	736960512	1447063552	3066695680	2242039808	1485348864	2317828096	2254426112	1310490624	610394112	2326614016	1927274496	1561985024	1445445632	546070528	3103285248	2897895424	2926186496	1129594880	153624576	2407002112	3057172480	
807337984	2971807744	665497600	2971721728	319987712	1764093952	1024221184	2825805824	1892311040	1725972480	437260288	3063021568	2169827328	1951399936	1195696128	1327050752	928821248	2957717504	2720862208	1384415232	2185498624	773566464	280055808	573677568	952758272	911536128	1541963776	1428684800	1410564096	1357590528	861958144	2432299008	
3058749440	1793302528	383078400	1187708928	1182490624	1421344768	747257856	2118717440	644988928	1156481024	220831744	2865766400	2447204352	2496688128	2183962624	1037246464	2367062016	2393862144	1857925120	1440600064	2377674752	1921282048	1097408512	1349517312	407785472	1061892096	438710272	2768617472	1843081216	976068608	868577280	281387008	
1552134144	58544128	406753280	507707392	128823296	1684463616	1767051264	1032990720	1009594368	64995328	2969600	1030070272	106516480	1650757632	605741056	1031299072	178606080	1134936064	2473816064	1284796416	2388553728	7098368	663400448	810024960	2201296896	465661952	1568264192	1620320256	1638146048	2298871808	786432000	1817866240	
1954689024	1439408128	2181697536	3049111552	524984320	330584064	1045798912	1521909760	2186829824	1518698496	1920491520	418918400	3104395264	2337538048	893739008	2381836288	2290233344	763932672	1261789184	3091169280	2125758464	2895872	143532032	1314729984	1892151296	2044141568	2621579264	2990403584	1167433728	1509605376	1063907328	539140096	
2305875968	2182832128	184463360	2591535104	286609408	2729713664	1768566784	1867845632	1230168064	2866008064	845414400	2980638720	2676142080	1248518144	1669349376	1339490304	1913823232	1066590208	533536768	1672175616	988925952	483770368	1697325056	86462464	548069376	2420764672	2802176000	676737024	2212749312	2191835136	2188824576	1653219328	
1632407552	909307904	2971807744	1322233856	319987712	807337984	1892311040	54415360	665497600	473939968	326696960	1964519424	1918263296	1984327680	2715680768	2879406080	2971721728	1360003072	578428928	1918308352	1960300544	2825805824	513507328	760897536	2464477184	547282944	1129910272	1439539200	203075584	597549056	1081208832	928821248	
